position,person,personID,start,end
Monarch,Elizabeth II,Q9682,1981-09-21,
Governor-General,Froyla Tzalam,Q106601151,2021-05-27,
Prime Minister,Johnny Briceño,Q6266369,2020-11-12,
Deputy Prime Minister,Cordel Hyde,Q58896069,2020-11-16,
"Minister of Agriculture, Food Security, and Enterprise",Jose Abelardo Mai,Q24953680,2020-11-16,
Minister of The Blue Economy and Civil Aviation,Andre Perez,Q109930999,2020-11-16,
"Minister of Education, Culture, Science and Technology",Francis Fonseca,Q5480967,2020-11-16,
"Minister of Finance, Economic Development and Investment",Johnny Briceño,Q6266369,2020-11-16,
Minister of Health and Wellness,Kevin Bernard,Q109930959,2022-01-10,
Minister of Home Affairs and New Growth Industries,Kareem Musa,Q58896061,2020-11-16,
"Minister of Human Development, Families and Indigenous People's Affairs",Dolores Balderamos-García,Q5289506,2020-11-16,
Minister of Infrastructure Development and Housing,Julius Espat,Q24953658,2020-11-16,
Minister of National Defence and Border Security,Florencio Marin Jr.,Q24953659,2020-11-16,
"Minister of Natural Resources, Petroleum and Mining",Cordel Hyde,Q58896069,2020-11-16,
"Minister of Public Service, Constitutional and Political Reform",Henry Charles Usher,Q109931006,2020-11-16,
Minister of Public Utilities and Logistics,Michel Chebat,Q16198058,2022-01-10,
"Minister of Rural Transformation, Community Development, Local Government and Labour",Oscar Ruben Requena,Q86003169,2020-11-16,
"Minister of Sustainable Development, Climate Change and Disaster Risk Management",Orlando Habet,Q86003939,2020-11-16,
Minister of Tourism and Diaspora Relations,Anthony Mahler,Q109930990,2020-11-16,
"Minister of Youth, Sports and Transport",Rodwell Ferguson,Q7357499,2022-01-10,
Attorney-General,Magali Marin-Young,Q97256948,2020-11-16,
Chief Justice,Michelle Arana,Q18684189,2020-03-19,
Speaker of the House of Representatives,Valerie Woods,Q97258252,2020-12-11,
President of the Senate,Саrоlуn Тrеnсh-Ѕаndіfоrd,Q104770990,2020-12-11,
Governor of the Central Bank,Kareem Michael,Q110553515,2021-12-06,
Commander of the Defence Force,Steven Ortega,Q86003994,2018-01-26,
